"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","basisOfRecord","recordSource","county","residuals","percentDeviation"
"26","FMNH","52845","Rodentia","Cricetidae","Peromyscus","Peromyscus eremicus",NA,"W. H. Osgood","WHO-7348",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"27","FMNH","52844","Rodentia","Cricetidae","Peromyscus","Peromyscus eremicus",NA,"W. H. Osgood","WHO-7347",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"28","FMNH","52843","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7352",1942-02-01,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"29","FMNH","52842","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7346",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"30","FMNH","52841","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7345",1942-01-30,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"31","FMNH","52840","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7336",1942-01-27,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"32","FMNH","52839","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7335",1942-01-27,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"33","FMNH","52838","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7334",1942-01-27,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"34","FMNH","52837","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7326",1942-01-26,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
"35","FMNH","52836","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus baileyi",NA,"W. H. Osgood","WHO-7325",1942-01-26,"Santa Catalina Mts",32.430378,-110.705345,2027.826685,2027.826685,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-4.2101174422915,5.68711041682561
