"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","preparations","habitat","burnStatus","basisOfRecord","recordSource","county","residuals","percentDeviation"
"29","UWBM","UWBM:Mamm:51593","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus",NA,"Collector(s): Harold E. Broadbooks; Preparator(s): Harold E. Broadbooks",NA,1951-06-04,"Tucson; Mt. Lemmon highway; 8 mi E",32.3271641,-110.7019473,NA,1247.775398,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"30","LACM","711","Lagomorpha","Leporidae","Lepus","Lepus alleni",NA,"Grant, G",NA,1916-12-01,"Santa Catalina Mountains, range, Pima Catalina Mts",32.430361,-110.7051482,NA,2018.486388,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"31","UMMZ","61765","Lagomorpha","Leporidae","Lepus","Lepus californicus",NA,"Dice, L.","167",1930-04-14,"10MI N TUCSON",32.3668616,-110.926253,NA,1170.087984,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,NA,NA
"32","UAZ","UAZ 02410","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus","M","S. Cross","273",1962-03-16,"Lower Bear Canyon Picnic Grounds, Santa Catalina Mts.",32.37444,-110.69,NA,1804,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"33","UAZ","UAZ 02411","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus","F","S. Cross","274",1962-03-16,"Lower Bear Canyon Picnic Grounds, Santa Catalina Mts.",32.37444,-110.69,NA,1804,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"34","UAZ","UAZ 02412","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus","M","S. Cross","275",1962-03-26,"Lower Bear Canyon Picnic Grounds, Santa Catalina Mts.",32.37444,-110.69,NA,1804,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"35","UAZ","UAZ 02420","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus","M","S. Cross","267",1962-02-02,"1.3 mi. E Campbell Ave. on Skyline then 2 mi. N, Tucson, Santa Catalina foothills",32.351841,-110.906382,NA,1284,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"36","UAZ","UAZ 03767","Chiroptera","Phyllostomidae","Macrotus","Macrotus californicus","M","R.A.F.",NA,1940-03-10,"Santa Catalina Mtns., Virginia Mine",32.43028,-110.70472,NA,2032,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"37","UAZ","UAZ 03820","Chiroptera","Molossidae","Tadarida","Tadarida brasiliensis",NA,"R.A. Flock",NA,1940-03-10,"Santa Catalina Mts., Virginia Mine, 5000 ft.",32.43028,-110.70472,1524,2032,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",507.239736343408,509.618824215136
"38","UAZ","UAZ 07860","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus","M","Bruce Hayward","BJH 1419",1960-09-24,"Catalina Mtns., Upper Molino Basin, elev. 4000'",32.33556,-110.69583,1219.2,1333,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",111.258097267543,111.779927027468
"39","UAZ","UAZ 14170","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","F","Alan Gubanich","16",NA,"Soldiers Trail & Mt. Lemmon Hwy",32.304141,-110.74507,NA,880,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"40","UAZ","UAZ 15492","Rodentia","Cricetidae","Neotoma","Neotoma mexicana","M","R.J. Baker","212",1967-02-01,"Catalina Mts., 1 mi. above Bear Wallow",32.438682,-110.73917,NA,1922,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"41","UAZ","UAZ 20835","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","M","E.M. Kasun","18",1969-12-19,"4.5 mi. above Ranger Station, Mt. Lemmon Rd., 1/2 mi. on Loma Linda turnoff, W of road, Mt. Lemmon",32.476135,-110.71417,NA,1563,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"42","UAZ","UAZ 06199","Rodentia","Sciuridae","Otospermophilus","Otospermophilus variegatus","M","W.D. Carrell","2",1957-10-01,"Sabino Canyon, 3100 ft.",32.322298,-110.809812,944.88,881,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",-68.0253779007365,68.3444348277431
"43","UAZ","UAZ 10839","Chiroptera","Vespertilionidae","Myotis","Myotis auriculus","F","T.R. Darden","44",1964-05-28,"Upper Sabino Canyon, Santa Catalina Mtns., 3200 ft.",32.322298,-110.809812,975.36,881,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",-98.3272139931499,98.7883945070392
"44","UAZ","UAZ 11562","Chiroptera","Vespertilionidae","Myotis","Myotis auriculus","F","E.H. Studier","160",1964-06-09,"Upper Sabino Canyon, Santa Catalina Mts. (ca. 3000 ft.)",32.322298,-110.809812,914.4,881,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",-37.723541808323,37.900475148447
"45","UAZ","UAZ 17459","Rodentia","Cricetidae","Neotoma","Neotoma albigula","F","Gary Isaacs","6",1967-10-08,"Willow Canyon, Catalina Mts., North Tucson",32.38861,-110.69806,NA,2135,NA,NA,NA,"PRESERVED_SPECIMEN","UAZ","Pima",NA,NA
"46","AMNH","M-144014","Rodentia","Sciuridae","Spermophilus","Otospermophilus variegatus",NA,"W. J. Schaldach","124",1945-05-02,"Tucson, Sabino Canyon, Santa Catalina Mountains",32.322298,-110.809812,945,849,NA,NA,NA,"PRESERVED_SPECIMEN","non-UAZ pre-2021",NA,-100.144676468029,100.614381359292
