locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,institutioncode,catalognumber,minimumelevationinmeters,scientificname,eventdate
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2346,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2361,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2338,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2345,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2344,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2355,,Myotis velifer brevis,4/19/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2356,,Myotis velifer brevis,4/19/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2353,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2360,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2358,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2351,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2352,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2339,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2342,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2343,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2341,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2348,,Myotis velifer brevis,4/18/1957
25 miles east northeast of Tucson,United States,Arizona,Pima,,,,,,,CSULB,2350,,Myotis velifer brevis,4/18/1957
3 miles below Rose Canyon Lake on Mount Lemon,United States,Arizona,Pima,,,,,,,CSULB,9004,,Otospermophilus variegatus grammurus,4/27/1971
3 miles east and  6 miles north of Tucson,United States,Arizona,Pima,,,,,,,AMNH,M-184207,,Peromyscus,12/17/1953
"6.5 mi SW Oracle, N slope Santa Catalina Mtns",United States,Arizona,Pima County,,,,,,,WNMU,WNMU:Mamm:1060,,Neotoma albigula,11/8/1958
8.5 mi NE of Tucson,United States,Arizona,Pima,,,,,,,HSU,531,746.76,Ammospermophilus harrisii,1/14/1958
BEAR CANYON MOUTH; FORT LOWELL AREA,United States,Arizona,Pima,,,,,,,UCLA,6912,883.92,Perognathus intermedius intermedius,2/20/1916
BEAR CANYON MOUTH; FORT LOWELL AREA,United States,Arizona,Pima,,,,,,,UCLA,6913,883.92,Perognathus intermedius intermedius,2/20/1916
"Bear Canyon, Mouth Of, S Catalina Mountains",United States,Arizona,Pima County,,,,,,,USNM,229512,,Ammospermophilus harrisii harrisii,8/31/1918
"Bear Canyon, Mouth Of, S Catalina Mountains",United States,Arizona,Pima County,,,,,,,USNM,229513,,Ammospermophilus harrisii harrisii,8/31/1918
"below Bigalow Lookout, Santa Catalina Mountains",United States,Arizona,Pima County,,,,,,,MSB,MSB:Mamm:174992,,Peromyscus maniculatus rufinus,1/1/1967
"Biota Ranch Stock Pond, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168491,,Pipistrellus hesperus hesperus,10/15/1973
"Biota Ranch Stock Pond, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168493,,Pipistrellus hesperus hesperus,10/15/1973
"Biota Ranch Stock Pond, Reddington Pass Rd.",United States,Arizona,Pima County,,,,,,,MVZ,MVZ:Mamm:168490,,Pipistrellus hesperus hesperus,10/15/1973
